# p1	seed64	light	dark	winner	reason	2-char-actions
p1	1DIV-	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0N0m080g020i0h0a000j070Z010b0T0k0a0F0M0E0F
p1	1DIVO	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0J0K0C0I0R0Y0J0X0Q0W0e0S0X050P00060l0m0D0f0B040C05010C
p1	1DIVP	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0h0H0F0S0T0U010M0T0a0V000b020Z010L0904060B0P0C0I0J030Q050O04
p1	1DIVQ	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0V0m0c0j090g020h0i0E0F0G0N0F0O0G0I0U0W0A0B03040b0a0T0P0b0a000b
p1	1DIVR	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0i09070E0L08000E0A0F030B0G0C020D090H0N0G010A
p1	1DIVS	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0M0X010T0a080T070F09080h0g0Z0S000Z
p1	1DIVT	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0j0d0c0b030c0V0H0c0O0a0Z0e0G040P0F010Q0R000E020F0Q0X0W0d0Y0W0K0f0m0R0e0Q
p1	1DIVU	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0W0B0I0P0d070I08040P0B090H0O0V0G0R0O0Q0c060e0V0d0O0U0j0W0N0V0c0b0m0V0c0S0V
p1	1DIVV	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0b0200070E0S0T0708010304050903080A040C030J060Q05
p1	1DIVW	rust-pathfinder-v0.1.0	lunatic-v0.1.0	D	P	0Q0Y0X0W0d0k0X0l000g0C0m0i0S0L0E070T0b0U090c030a0d0e0j0V0PC6
p1	1DIVX	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	060b0f0Y0R0C0D0K0B0M0J0m0l0P0X010C0k0Q0l0O0j0N0I0P0L0I0U0T0a000T020c
p1	1DIVY	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0R0N060D0K0Y0D0Q0f0L0Y0m0M0l0i0d0H0Z0b0V0W0T0U0F0V0P0O070W0X030A3i0IAn0G006P0x0B5e
p1	1DIVZ	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	010B080Z0a0b0F0a0c0U0V0T0G0N0O0P0H0O0Q0R0I0Q
p1	1DIV_	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0l0P0Q0R050Q0L00010203010A0B0C0G0H0I0O0H09040N030B0A
p1	1DIVa	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0G0J090201000304010N0U0b0N0Z0A0a0P0c0i0d0b0308
p1	1DIVb	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0F0S0T0U010T0V0W0X0V050Y0C0X
p1	1DIVc	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	000S0O0V0c0T0V0A0j070H0803090A
p1	1DIVd	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0N0Z0b0a020c090W0b0U0d0V0P0O0W0k040T0B0I0J0G0j0i0N0b0j0X0H0W0h0Y
p1	1DIVe	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0G0N0U020N0001080F0b080Z0i0a0b
p1	1DIVf	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	080Q0M0E0F0G010F030P0A0H0O090H0I0V0H0R06050J0K0D0C0B000C
p1	1DIVg	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0X0M010Q0J0L0Q0C050e0l0C0I0B040e0A0N0B0O0c0P0W0U0d000j
p1	1DIVh	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	030a0c0H0E0A070Z000b0F0j0k0l0i0U0k0Y0m0N0W0B0C0102090G0I0O0V0J0X0O0P010O0r0Q
p1	1DIVi	rust-pathfinder-v0.1.0	lunatic-v0.1.0	D	P	0J0E0C05060Q0X0e0Q0Z000a0b0c0B0b0F0G0l0d0D0e010f
p1	1DIVj	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0T0N0M0L010M0F0E0M080O090A0703020G0N0H040M0305060B05
p1	1DIVk	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0N0V0U0T0X0O0R0M0Y0K0D0H0K0L060N0e0l0d0k0c0W0m0j0f
p1	1DIVl	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0W0j0k0l040k0g070Z08090F0G0E02030L0A0M090B050H04060C0D0m0B0O0C6l07000E010H3O0S4e5Q0N0V0G6N0AA-Ig0J0N050P0O0G3U0B4f040A0I03GM05063N2d0N5g
p1	1DIVm	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0B0l0m00040I0P0W0I0S0Q0T0f0U0Y010R
p1	1DIVn	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0L08070E090F0G0H02080G0A0I090B0C040B0D0J0K06050J0Q0X000Q010R
p1	1DIVo	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0A0V0O0H030E0O0F0H0G0I0N0P0W0Q0X0c0J0j0V0d0U0W
p1	1DIVp	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0e090C0405060J0503020A030801000F070B0E0G0L0N0S0a0Z0g0h0i0b0h0a080j7N0c27092a013E
p1	1DIVq	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0E0A020708090G0L090801090N0B0F0C080U0b0i0U0g0h0a0T000a
p1	1DIVr	lunatic-v0.1.0	rust-pathfinder-v0.1.0	D	P	0O0M030N0A0P0H0I0J0G0F0I0T09080M0O0G0Q0H0L0K01070Z0E0J0F0B020P000V0I010J
p1	1DIVs	rust-pathfinder-v0.1.0	lunatic-v0.1.0	L	P	0a0X050T0M0S0T0U0Q0J0T0F030E080G0F01020h0g090A0Z090b0L0V0a0P0i000h
